,name,date,location,star_ratings,reviews
56,Amanda-Jane W.,2/17/2018,"Dunedin, New Zealand",4 star rating,"We went for lunch.  The menu is quite large.  I had baked eggs with scallops and some fruit sourdough toasted.  My friend had the tuna Mille feuille.  I think she won the meal choice (mine was nice, hers was amazing!). It is not a super cheap place but that can be attributed in part to the fact they appear to use high quality ingredients.The staff were awesome.  The only thing that let lunch down was the coffee.  In saying that - I'm sure there's plenty of other good places and I'd not usually want to queue 20mins to get a table!Oh and they do not split bills which was a bit of a pain for us."
57,Tammy L.,4/20/2013,"Sugar Land, TX",5 star rating,"We saved the best cafe of our trip for last, and it most definitely did not disappoint!  Hardware Societe, another laneway cafe in Melbourne on my fooding list, isn't quite a dime a dozen.  From their country-side ambience to its to-the-point yet cordial service - not to mention their food - this place serves up a delicious frenzy!  I have never seen two chefs in Australia working at such top speed...There was quite the line when we arrived at Hardware Societe at around 10am, and though we did wait for a little bit in the chilly weather, the warm, moist banana bread made up for it!  The Banana and Coconut Loaf (15) was probably one of the best - if not the best - banana bread I've ever had, even though I don't like bananas that much.  Now that is saying something.  The bread had whole chunks of caramel banana in it, and although I don't think it added anything to it, it didn't take away either.  The salted caramel marscapone was ""cherry on top,"" moistening the bread further while adding some sweetness - making this dish a perfect 10!  The only downside?  Getting really full after finishing a whole loaf!The Baked Eggs with Chorizo Sausage, Piquillo Pimento Sauce, Crunchy Almonds, and Queso de Cabra Goats Milk Cheese (17) was also delicious.  The dish was nice and steamy, making it a perfect breakfast item for a chilly morning!  The egg was baked and overly well done, which made it the perfect spread texture for the baguette that came with it.  The baguette was also fresh and crunchy, and not at all stale or scratchy - the main reason I typically don't like baguettes.  There are very few dishes I would ever order twice at a cafe - and Harware Societe has successfully created two!  I'd have to say - even I am quite impressed.As for their latte - it wasn't anything outstanding, but the hot chocolate looked even better!  I was slightly envious of Jo's steamy pot of it..."
58,Jakab B.,6/24/2015,"Parkville, Australia",3 star rating,"I had the fried brioche and a French earl grey tea. Both were beautiful and of course, worth the small 10 minute queue (it was, after all, a Thursday afternoon), however I don't believe the quality of the food was worth the price. Further I don't know if it was where I was seated (a cramped circular shared seating arrangement mind you) but the restaurant seems to have a pesky fly problem..? There was a small swarm around where I was eating! All in all, it's a nice place to eat and I would recommend any one to give it a chance if they haven't yet. But bare in mind there are other places for breakfast/brunch within the CBD who deal excellent meals for a portion of HS's prices."
59,Jackie R.,1/29/2016,"Union City, NJ",5 star rating,We had breakfast here two days in a row. It was that great. The first day we had the baked eggs (called deux). It was the one with chorizo in it and it came in a tiny pot straight out of the oven. So delicious. Onthe second day we tried the pork belly with egg dish and it was amazing. Try getting there before 9am or after 1pm otherwise the wait could be up to 40 minutes. We got there at 905 and had a reasonable 15 minute wait. Ten minutes after we got there the line was twice as long. The orange juice is freshly squeezed and I would definitely recommend. Once you're seated your food arrives quickly and the service was great. Well worth the wait. A must try.
60,Rob C.,3/29/2019,"Palo Alto, CA",5 star rating,"4.5 popular brunch spot. had the baked eggs with chorizo, very runny in the center, mix of textures, nice cheese. try the bread with the jams"
61,Davida O.,12/28/2017,"Scottsdale, AZ",5 star rating,We had a great breakfast here. Cute spot in a fun laneway. The menu had a good variety to choose from and what we ate was delicious! Coffee was yummy too! Friendly and great service!
62,Sven D.,9/06/2019,"Rome, Italy",5 star rating,"Took a walk from the Hyatt to this cafe based on the reviews. It was outstanding. Had The Big Breaki, eggs were perfect and the Chorizo was spot on."
63,Henry C.,7/12/2018,"San Bruno, CA",5 star rating,Have a lobster Benedict and baked eggs.  Both are good.  But I would recommended on the baked eggs next time
64,Josh A.,10/12/2017,"Perth, Australia",4 star rating,"Great little place down an alley. However, the soy milk Long Mac I received was split. Asking the waitress for another one was received well, yet the new coffee also proved to be a challenge to the barista and once again arrived split.Enough negativity though, my friend had a regular milk latte that looked perfect and he said the same. The Baked Eggs Duex was fantastic! The almonds really set the dish apart. It was well balanced and full of flavour and the portion size was spot on."
65,Rua A.,10/25/2015,"Auckland, New Zealand",5 star rating,"Fantastic food and great service! We came on a Friday morning so wait was very short and we were seated in a large shared table, we ordered the baked eggs veg version and fried brioche we shared between the two of us, everything was delicious and the coffee was amazing. Highly recommended :) PS we came the next day and it was just as good!"
66,James Y.,10/22/2015,"Adelaide, Adelaide, Australia",5 star rating,YR: F4.5/E4/R4yrscore.comInteresting choices in the food menu. I went for the steam egg with scallop which was well made. The sweetness of the scallop was nicely infused with the egg. Macha latte and latte were well crafted.The interior is well decorated. Gave me the impression of a fairytale land.The queue can be quite long. Will revisit if I am back in this area.
67,Sarina W.,12/09/2017,"Melbourne, Australia",5 star rating,"The Hardware Societe must be one of my favourite brekkie spot ever since it first opened.  They changed their delicious menu regularly to tease and tantalise tastebuds.  Not to miss are their ever changing fried brioche, today I had the brioche atopped with poached quince, hazelnut & chocolate spread, roasted hazelnut and pistachio.  This is probably as close as I could get to heaven.  The richness of the hazelcho spread was balanced with the slightly tart honey poached quince and even though I was super full I kept digging into it as it was simply sensational.  Thankfully I also had their lovely licorice, fennel and mint tea to go with this.If I wasn't having the brioche, I'd probably go with the scrambled eggs or the baked eggs.  Once again the flavours changes regularly.  One time the scramble might come with a salmon baguette, the next you might get prawns with it.  I would probably pair this with their hot chocolate... yummmmmIf you are feeling starved, I would highly recommend their croque monsieur.  I am never that famished but did have a taste of my friend's croque monsieur and it was amazzzzzing.The Hardware Societe also has a mini food store section where they sell jams, lollies, baguettes and drinks.  Definitely worth checking it out as well!"
68,Katie G.,4/24/2015,"Denver, CO",5 star rating,"This place is hard to snag a seat in, which means it's good! We sat at a communal table, which was great because we could talk to some of the locals. We tried the lobster Benedict and the pork belly with a chili fried egg. The pork belly was just ok, but the chili fried egg was delicious. The lobster Benedict was also flavored well. Definitely eat breakfast/brunch here. Everything coming out of the kitchen looked delicious"
69,Angie O.,8/15/2017,"Manhattan, NY",4 star rating,"I've been here twice, both times before peak hours so it didn't take long to get a seat. Service was good on both occasions even as they got busier and more packed. The waitresses were attentive and charismatic. I've tried both of their baked eggs with scallops and chorizo and have fallen in love with their mastery of mixing ingredients. The flavors were so distinct and complementary and rich without being over the top. Their fresh garnish on the baked eggs were such a nice touch to bring in all the other flavors. This is a lovely brunch spot to try in the CBD if you've got time. It's very popular so try to come outside peak hours to avoid a queue."
70,Alex R.,11/05/2016,"Melbourne, Australia",5 star rating,"Consistently good! Amazing fresh and wholesome produce with a French-Spanish spin on things, The Hardware Societe is an absolute favourite. This is the perfect spot for brunch! It's small and cosy with a counter that's overflowing with croissants, macaroons, cakes and biscuits. We sat outside in the lane, amongst the hustle and bustle of Hardware Lane. We had the Niçoise salad w/ tuna, omelette w/ Spanish potatoes, tomato & Brie cheese and an empanada. The food was delicious and had spot on ideal flavours. The service is fast and friendly and it's always a pleasure eating here!"
71,Samantha W.,7/18/2019,"Gloucester, Ottawa, Canada",5 star rating,"If I could open this joint up in Canada, I 100% would. Friend took me here when I visited Australia and I still dream about the deux ouefs I had there. The dish is pricey but if there was a place where I would pay a pricey amount, it would be here.. and every restaurant in Melbourne. So many good eats and this is definitely one of them!"
72,Teresa H.,6/18/2014,"Melbourne, Australia",5 star rating,"A popular hotspot with the long wait.....totally worth it! Great coffee and delicious brunch - I had the Deux - trout en croute, asparagus, dehydrated tomato, lobster bisque!!! Okay the word ""lobster"" sold it to me! And it definitely was a great choice! The staffs were great and considering how busy it was, the waiting time for the food wasn't too long."
73,Wei S.,9/11/2014,"Melbourne, Australia",5 star rating,"This is an all-time favourite of mine and a bunch of girlfriends! Best known for its weekend brunches, be prepared to treat yourself!! My favourite savoury dish would be their baked eggs. They usually have 3 flavours available for brunch (I think they mix these flavours up a bit each time they change the menu)... Herb mushrooms on toast are a treat too! This seems to be an all time favourite as it's been on the menu for awhile. I also recently discovered pork belly with fried eggs. This dish sounds decadent for brunch but is oh-so-good! But the BEST part or brunch at Hardware Societe is the fried brioche! I have never walked out of this place once without having it's fried brioche. On weekends, there'll be a special in addition to what's on the menu. These flavours change regularly too but they are nearly always amazing! I've been here for a fried brioche the same day I had some teeth extractions and it was the only thing I wanted! I should also mention that they used to serve all coffees with a little cinnamon donut, about the size of a teaspoon. They were delicious! Seems to have stopped recently but would be amazing if they brought that back. Two thumbs up for my favourite brunch spot in melbs!!"
74,Celina L.,7/31/2018,"Preston, Australia",1 star rating,"Horrible service!Giving this place 1 star not by choice but because I cannot give them a zero. I waited in line with a friend of mine today at around 11:30 am for about 20 minutes and when we were seated, we were taken to the tiniest oval communal table I've ever seen with 7 other people already seated. There was seriously no space to even move my elbows out once I was seated, it was insanely cramped. When the waitress came over, my friend and I ordered coffees and we asked if we could move to a table when one comes free. The waitress told us we had to get back in line if we want to wait for a table. I told her that's really silly since we already waited and she said she'll go talk to her manager. While we waited for her to come back, a couple that were sitting to the right of us left the table. When the manager came over, she asked us if we wanted to move over to their seats and we said we would prefer it if we could get a table as we could see a few tables becoming free. After all, we came before lunch, so it wasn't as busy as it usually is. She said it's not possible and she can't help us. So I told her that we wouldn't have stood in line if we knew we would be seated on an insanely tiny table eating our lunch with the whole of Melbourne. So we got the coffees we ordered to go and left. Eating out in Melbourne is expensive and this cafe can't even cut out 2 stools (they weren't even chairs but those really short stools) so their customers could breathe! But you know, greed.And btw, coffee was just drinkable."
75,Les T.,4/14/2018,"Moore Park, Australia",5 star rating,"Had a great brunch here. The staff were helpful and found us a table outside. There was a line (like most places in Melbourne), but the wait was worth it. I had the Croque Madam which I'm still not entirely sure what it was, but it's one of the specialities and I would highly recommend it. Coffee was also good."
76,Louisa W.,3/09/2016,"Melbourne, Australia",2 star rating,"Sadly I was very disappointed by my recent dining experience at The Hardware Societe. I've had this place bookmarked for ages & all the other positive reviews & pictures of delicious food had well & truly sold it to me.There is always a queue outside, therefore when I arrived I joined it. Only to then see people turn up from nowhere & go in ahead of those in the queue. I inquired with the server as to if there was a booking system & was instructed that I should have read the sign (said sign simply said that a server would be with you once you joined the queue, no reference to giving your name to them before joining  the end). Thankfully the wait was not too long & we were shown to our table. The table had barely been cleaned from the last diners & we were left with a half empty bottle of warm water rather than being provided with a fresh one. I ordered the baked eggs, which were over cooked when they landed on the table and having come straight out of the oven obviously continued to cook & despite stirring vigorously as I had been advised to do by the server they ultimately became burnt & stuck to the pot...all very unpleasant. The only positive was that the pesto bread was tasty.My friend simply opted for some gluten free toast & again we were left a little dismayed when she lifted the lid off the butter dish to discover that it only contained a smear of crumby butter. Just one choice of preserve was provided which had a fly enjoying it's lunch probably more than we did!!!I appreciate that this place is busy with a high turnover but poor customer service & not restocking the basics is not acceptable when you're paying a slightly above average price."
77,Chuy B.,12/02/2016,"Santa Ana, CA",5 star rating,"Ok, if you're a foodie, (and if you're in Melbourne I take you're a foodie for granted) this is the place you want to go! is placed on a walkway street in CBD, where you can smell the trendy and pure spirit of the city, the restaurant is tiny and you may need to wait in line on weekends to have your ""Brekky"" but it's totally worth it. it's sort of a French fusion amazing cuisine, I ordered the Croque Madame and bf had the Bennies, both amazing and unique, never tried anything like that before but the dish essence isn't lost either. on my opinion this place is a must for brunch in the bohemian capital down-under."
78,Karmen Y.,8/17/2014,"Toronto, Canada",5 star rating,"Absolutely fantastic breakfast/brunch place. I think this is a must-try in Melbourne! From the atmosphere to the food, it was a memorable experience. I was very happy with the Baked Eggs Deux (with chorizo) and the Coddled Eggs (which was like a charcuterie platter) and both were delicious. As a bread fantatic, their bread here is just MMMMPH.It is a very small place and gets crowded very easily so I do not recommend going in a large group (2-4 people is most ideal). I was able to only sneak in a spot going as 2, but I think if the wait is not too long, it is worth the experience."
79,Krystal F.,3/23/2017,"Rialto, CA",5 star rating,"Immediately when I got there I was greeted by one of the kindest waiters.  I wish I would've asked him his name at the time.  He greeted me with a smile and proceeded to assist me in finding a place to sit. Before I got to my table, however, he asked me if I would be comfortable in a regular chair or a stool.  I know this doesn't sound like much, but when you are on the chunky side chairs with or without handles matter to your overall comfort. I was extremely excited to see that I didn't have to approach this conversation first.  And that never happens!Besides this illuminatingly rich and warm customer service, the food was amazing.  The fried brioche with passionfruit curd and creme fraiche was a highlight to my very first morning in Melbourne.  I will always remember it as a part of my holiday."
80,Vincent J.,6/27/2018,"Brisbane, Australia",5 star rating,"One of my staples for Melbourne Brekkie. MENU: Everything is pretty consistent, go nuts VIBE: Alotta hype around this place and for good reason, quite busy. but everything is quick and efficient RECOMMENDATIONS: Lobster Benedict, Fried Brioche and the OJ"
81,Stephanie W.,5/13/2018,"Freshwater, Australia",2 star rating,"A very average cafe in regards to Melbourne standards. Luke warm coffee, over priced meals and over complicated breakfast. I recommend going to the cafe across the lane called Hash."
82,Clara A.,3/27/2016,"Melbourne, Australia",3 star rating,We have waiting 45 min to have a table. We hope it was a fantastic moment. But the are was too noisy and the place was not comfortable. The menu propose different meals. But the price is expensive and the meal's flavour aren't fantastic. But I took the raspberry pistachio green tea cake which was very tasty :)
83,Michelle B.,3/29/2016,"Perth, Australia",3 star rating,"Always a line for this cafe and with its hype we decided to join the line. After about a 25 minute wait we got shown to a table. The service was very friendly and the coffee was really good. I ordered the daily special which was a confit duck pie with poached eggs. The dish was flavourful, but unfortunately was only Luke warm and the pastry had lost its crunch and flakyness."
84,ML ..,12/11/2016,"San Francisco, CA",4 star rating,"Had a really good time here and enjoyed our brunch.  The portions are pretty large and that hot chocolate, wowzers, nice and rich. Their waiting list method was somewhat of a hot mess.  You have to wait for someone to come out and sort out who was all there first to put the names down.  Not sure why they don't have a board out there for the patrons to sign as they show up."
85,Sharon H.,3/21/2016,"Melbourne, Australia",5 star rating,"Hardware Societe is arguably one of the most popular, famous and consistent brunch place in Melbourne since they first opened in 2010. It's certainly My Mom's favourite brunch spot, every time she visit me from Indonesia she had to have their Fried Brioche. She claimed it to be the best Fried Brioche ever and my mom does travel and eat a lot so she know's what she is talking about. Head Chef Jean Paul Dargan is known for using seasonal produce on their menu which may result in slight variations to the menu such as they used different fruits every seasoned on their french toast."
86,Jennie L.,11/07/2015,"Richmond Hill, Canada",5 star rating,"Who doesn't love a hearty breakfast? And this restaurant definitely served some of the best breakfast dishes that I've ever had! My friends and I had the Lobster Benedict and Baked Eggs. Both were out of this world! I love eggs benedicts and I love lobsters, so when I saw lobster benedict on the menu, it was a no-brainer. And boy was it a good choice! There were chunks of lobster sitting on a buttery brioche, with perfectly poached eggs on top covered in a blanket of hollandaise sauce. It was definitely that best eggs benedict I've ever had. My friend chose to order the Baked Eggs. At first I had my doubts, as it sounded a bit boring, but he insisted on getting it based on the reviews of others, and I was so glad that he did. This was a very unique dish and I'm not sure how to best describe it; each bite was just such an amazing explosion of flavours in my mouth. If you came here and could only get one thing, definitely try the Baked Eggs as you wouldn't be able to get this anywhere else!It is a very cozy restaurant, with not too many tables. The service was very quick and friendly, but we never felt rushed even though we could see the line starting to form outside. We came around 10am on a weekday, and were seated within 10 mins."
87,Scott J.,3/04/2014,"Sydney, Australia",3 star rating,"Perfect start to the day, Food is amazing and staff were great, the menu was world class and def a place you have to experience in Melb. The coffees were small and they only carry one size, this was a little disappointing as they should have large coffee instead of making you purchase two. Unable to add your choices as they don't allow sides, I like crispy bacon with my eggs. All that said I still enjoyed what I ordered."
88,Carl N.,2/03/2016,"San Francisco, CA",5 star rating,"This is one of the best brunches I've have ever had!My girlfriend and I were visiting from San Francisco and heard about Hardware Societe. This place lives us to the hype. I got the omelette with jambon and my gf got the salmon creatively cooked 3 different ways. The food was exceptional and the ambience/service was very friendly and welcome, despite the growing long lines. They are right, get there early however you will not be disappointed!"
89,Terry V.,8/11/2013,"Nashville, TN",4 star rating,"Couldn't have started the day better! The line wasn't too bad and we were seated on the bar where we could see all the creations being made in real time with great precision and expertise.I ordered the omelette that had zucchini, cherry tomatoes, crab, and fennel remoulade. Pretty tasty and incredibly filling! I loved how it came with two pieces of baguettes that were super tasty with a touch of olive oil on them. My friend ordered the bircher muesli with raspberries and seeds with toasted hazelnuts with a poached pear. It also came with a large croissant which looked amazing and buttery.The space was adorable and we had a great time eating and catching up. Service was good. Refilled our drinks when we needed them too and took our plates when we were finished without rushing us. They were attentive and seemed to be running around the entire time. The place surprised me that it was cash only so be aware before you go! Definitely worth visiting if you're in Melbourne for a few days."
90,Sophia N.,9/28/2015,"Melbourne, Australia",4 star rating,Cute little french place on hardware lane in the city. A nice and cosy place to have some breakfast and coffee with some of your gal pals or your partner. Have tried most of the dishes on the menu and there is nothing to fault. My favourite dish here is the baked eggs. So delicious. Wouldn't get it anywhere else
91,Miriam W.,6/17/2013,"San Francisco, CA",4 star rating,"Even on weekdays this sweet little cafe at the end of Hardware Lane is packed with patrons eager to sink their appetites into creative plates like bircher muesli, fried brioche and sardines on toast.Luckily, my dining company had the foresight to think ahead and was already seated at a table when I arrived. I ordered chai which came out creamy and spicy (just how I like it) and baked eggs with chorizo which fueled me for the day (I love savoury breakfasts)!This is a Melbourne brunch not to be missed, just make sure to bring cash to pay for it (they don't take cards)."
92,Jeany L.,10/30/2016,"Melbourne, Australia",4 star rating,One of my go-to brunch destination. Always packed on the weekend but waiting for a table is not that long. Always order their hot chocolate! Thick and satisfying!
93,Jesse S.,10/02/2015,"Melbourne, Australia",4 star rating,"Good brunches, coffee and cakes but I hate waiting in line so we basically never go.As others have said the baked eggs are not to be missed. I watched how the guy did it and then ripped it off at home -- surprisingly easy and no waiting in line :)Many of the gluten free cakes are also pretty good."
94,Duncan S.,2/08/2018,"Washington, DC",5 star rating,"I'm not a huge breakfast person beyond good coffee but felt compelled to leave a review because it was so good. I ordered the barrata, which was fantastic and vegetarian to boot. It was fun watching the kitchen staff make everything from the counter. It was busy but not packed on a Friday morning."
95,Leslie L.,10/03/2015,"La Salle, France",5 star rating,"The chef was accommodating! The food was artful and delicious. The breakfast options were rich, and inspired. Everything was cooked to order impeccably. The poached eggs with mushrooms was so tasty  and memorable. We were visiting Melbourne for the first time from Los Angeles, CA. We would recommend this place for a hearty and comforting breakfast."
96,Sophie W.,2/03/2018,"Windsor, Australia",5 star rating,We all know this is the Mac daddy in Melb for breakfast. Always huge waiting line and the food explains why. Friendly and efficient staff- the meals are delicious and heavy - perfect place to eat after a big night out
97,Two S.,11/10/2016,"Melbourne, Melbourne, Australia",5 star rating,"Lived up to the hype from my point of view and likewise for my friend.  The breakfast was superb, the coffee lovely and the service efficient and affable.  Not cheap but it's an excellent experience. Recommended."
98,Karla S.,12/10/2017,"PORTER RANCH, CA",5 star rating,Truly excellent Service and food. It was a culinary delight. We had the scrambled eggs with chorizo and asparagus and the baked eggs in a pot. Highly recommended. What was most delightful was the service model where the entire team worked together to assure that everyone was taken care of. From seating to check out : perfection
99,L G.,5/03/2016,"Placentia, CA",5 star rating,The baked eggs and chorizo is sublime! It is soooo good! You will not regret ordering  it. Truly one of the best dishes I've ever tasted. Combined with a friendly server and host and our experience at Hardware Societe was top notch. Great way to cap off our vacation. Will surely return when we come back to Melbourne.
100,Sallyanne E.,3/24/2013,"Melbourne, Australia",5 star rating,"I absolutely adore coming here for brunches and lunches!! Such a cute little spot hidden on a laneway with incredibly inviting decor, nice outdoor seating, lovely staff and oh yeah- fabulous food!!I've literally not had anything bad from the menu, and the potions are generous (but not ridiculous- this is French inspired cuisine after all!)I kind of wish there were no reviews for HS so I could keep it a secret, but damn I just want everyone to have such a delightful experience! Enjoy! Bon appétit!"
101,Mallaury G.,9/09/2015,"Paris, France",5 star rating,"We had a perfect breakfast at the Hardware Societe! We went on a Friday morning and didn't even wait too long to be seated inside (yes, spring and it's still freezing in Melbourne!). The menu is so amazing that everything looks delicious and we literally wanted to try half of the menu out.I finally opted for the chorizo baked eggs, after speaking a bit with the friendly French waiter about what was the best decision to make (that was a critical choice we had to make). Terrific dish, really! The French brioche looked so amazing as well and we'd have loved to give it a try if we weren't already full after eating our dish.Also ordered a long black coffee -first coffee in Melbourne!- and I have to admit I was a bit disappointed with the taste, but anyway.I loved the atmosphere and the decoration inside. People working here are lovely as well. Well deserved five star rating!"
102,Eric B.,11/25/2017,"New York, NY",5 star rating,"The brunch here was sooooooooo good. Many creative takes on classic dishes with top notch ingredients. Cool vibe and service on a quaint little alley. Hardware Societe a is a clinic in what brunch should be! If you find yourself in Melbourne and are into this sort of thing, don't hesitate, you won't be disappointed!"
103,Chris B.,2/03/2013,"Melbourne, Australia",5 star rating,"My friends couldn't believe their ears when I told them that they'd have to wait half an hour for a table for breakfast. ""How good can this place be?"" ""Why can't we just have toast?"".Hardware Societe, as ever, didn't disappoint. We ended up waiting closer to an hour after a squad of young families enjoyed coffee after coffee on what was destined to be our table. We finally took a seat outside, embracing the breeze of Hardware lane and allowing the jealous looks of those behind us in the queue to wash over us like an ocean wave.The food, as ever, was amazing. It can tend to be pricey, but you definitely get your money's worth and the staff are friendly and helpful to boot. Coffees were not amazing, but the little doughnut ball on the side made it worthwhile (Doughnuts? breakfast? What!?). If you're there in a small group (one, two or possibly three), try and get one of the seats overlooking the kitchen area. Watching the food be prepared is certainly a sight to be beheld.Three endnotes: - A close friend of mine wished for me to note that they do, in fact, wash their drinking glasses in the same water as they wash egg-dirtied dishes. This apparently introduces an eggy taste to the glass. I didn't notice it in this instance but perhaps his sense of smell is keener than mine. - No EFTPOS or credit card facilities! Remember to bring cash. - Upon checking in, I received a follow-up tweet from the owners within several minutes. Cool!"
104,Ellie C.,5/18/2015,"Melbourne, Australia",4 star rating,"Okay so we had to wait an hour on Easter weekend for a table here. and then we were out of there 30 mins after being seated! So efficiency is key here, even if there's a bit of a line to begin with. While this place isn't really suitable to become your new inner city local, it's definitely worthy of being on your 'cafes to visit in Melbourne' list, and everyone should drop by once or twice. Awesome food and coffee, pretty ace service and it doesn't break the bank. I had some kind of pork belly thing with eggs and it was phenomenal."
105,Janet C.,4/20/2016,"Melbourne, Australia",4 star rating,"This was our first breakfast in Melbourne. It was busy but the line moved quickly and the staff was very accommodating. Ex. Our bistro table was a bit exposed to the elements but when another sheltered table opened we were moved. Our waiter was friendly helpful and attentive. I had the croissant,vanilla yogurt, pears; my husband the scrambled eggs with marinated bacon. Both orders were scrumptious. The total : with 2 oj and a shared pot of tea for 2 ; $53.00Money well spent."
106,Cecilia Z.,5/03/2016,"Sydney, Australia",4 star rating,"First meal after landing in Mel, very tasty and special, different layers with different senses for ur tongue."
107,Roxy L.,10/24/2015,"IL, IL",5 star rating,This place is fantastic. Came right before hoarders of people were queuing outside. Sat at a long table with a bunch of strangers. Service is top notch and the food will change your life! I had the baked eggs deux and it was out of this world. I'm not a coffee drinker but the iced coffee served with ice cream and chocolate milk could make me one. You don't want to miss out on this place!
108,Henrique K.,2/22/2013,Australia,5 star rating,"I went to Hardware Society for breakfast, I was struggling to choose something from the menu I decided to have the special of the day, chorizo sweet corn croquet, two organic poached eggs, baguette and nuts capsicum sauce. I didn't know what to expect and Wow, it was so good! no wonder the place got completely packed a few minutes after opening.Food was delicious, service also great. Coffee was good but the way the waiter explained about it I thought i was going to have the best coffee in the world, and it wasn't. I guess it all depends on your personal taste."
109,Artemis H.,4/15/2015,"Sydney, Australia",4 star rating,"I do have to commend this cafe for their good quality food, dainty French playground chic interior vibe and interesting menu. However I didn't particularly find the food appetizing, I gave four stars mainly for the quality and effort. This is a small restaurant, even on non-traditional busy days you may find yourself waiting in line for seating. I don't believe they take reservations. Whilst intriguing, I found the menu limited, brave and inventive. Really had to peruse the menu a bit before reaching a safe option. Our favourite was definitely the fried brioche. We were after a brunch style offering of food so this place made the cut. All in all we had a pleasant experience here but not in a rush to go back but still recommend for you to try. The only thing I found distasteful were the patrons."
110,Rebecca T.,7/03/2015,"Richmond, Australia",4 star rating,I was a little hesitant to try this one.... But I was proven wrong! The food was lovely the service was amazing and a very cute atmosphere. I had ordered a soy flat white and then as my brunch came out the service assistant came over and said - oh my god I'm so sorry I should have told you that there maybe be cream in the potato bake. I can change it for you she went onto to say... I politely said I was okay but was completely wowed by the service and the fact shed even remembered. Get there early however even on a rainy cold day there was still a 45 minute wait!!!
111,Kimmy C.,11/27/2014,"Seattle, WA",5 star rating,"This cute french influenced cafe is quite the charm in Melbourne. In the not so popular alleyway hides a busy cafe that has lines even on a weekday. That would surely tell you how good this place is. If you want to grab coffee ahead of time while you are waiting for breakfast, they have a coffee bar where you can order and enjoy your cup of joe. I had the decadent french toast that seemed to be one of the most popular items on the menu. My friends enjoyed their baked eggs. What was nice is that their options were either vegetarian or not. I say that this place creatively presents their breakfast a plate to serve. Table sharing is mostly required and don't be shy because the french cafe is as cozy as it can get. They try to squeeze as many patrons indoor and outside the store front. Coffee here was amazing and I got to savor my flat white to the very last drop. Come check this place out!"
112,Tresna L.,2/28/2013,"Melbourne, Australia",4 star rating,"It's easy to see why this is such a favourite spot for Melburnians. With proper teacups and saucers and pots of tea that come in two sizes (for 1 or 2), compete with tea cosy, this is a great spot for afternoon tea. But why would you come just for a drink when you could come for brunch and take on the likes of blueberry and coconut loaf or the positively ginourmous bircher muesli which is one of the best I've ever had? It's huge, studded with raspberries and seeds and scattered with loads of toasted hazelnuts and a big serving of poached fruit. I don't know anyone that could finish it, so be prepared to share or (if you're like me) confront your food wastage guilt. You need to choose your moments to visit or be prepared to wait for a table. It's hugely popular which means things are a little frantic inside and you won't be able to sit here for hours luxuriating over a newspaper."
113,Kathy L.,8/30/2014,"Auckland, New Zealand",4 star rating,"Came here for an early breakfast before an exam with a friend. Found this one after looking for popular cafes in the Melbourne CBD. We came shortly after their 7.30am opening and it was quickly filling up- both inside and outside.Got a lovely trim flat white with the cutest little mini cinnamon donut on the side- which was also delicious. Neat heart pattern- a small one above a large one on top. For breakfast, got their vegetarian un baked eggs while friend got their very cool sweet platter with 3 dessert like minis on a wooden board. The eggs came in a wee little metal pot with a lid (to be stirred) on a wooden board with a side of small pieces of crusty bread- Tasty.Loved the French feel of the place with it's beautiful furniture, retro cool hanging lights and feature wall with butterfly wallpaper. Had a great wall of hanging tea cups at the main counter and range of tables and seating. Cool sweet treats on sale where you pay. Think their head chef, has a great philosophy in using seasonal produce with slightly varying menu. Very cute place with good food and coffee."
114,Dayse G.,5/25/2016,"São Paulo, Brazil",1 star rating,"I went there three times, at first and second time, it was good. The service was   Fast and waiters friendly. Dishes were tasty, besides expensive. But at third my partner and I asked fried brioche and bircher and both were terrible!!! We just couldn't have them. Totally different from the pictures because they change The menu every week. Without raspberries, cherries, chocolate, or any good thing. We got fully disapoitment!!!!"
115,Jo Y.,5/24/2016,"Leederville, Australia",4 star rating,"Beautiful breakfast, absolutely everything on the menu looks and sounds delicious. There is a line, so you do need to get there for 8.30am to get a seat. I ordered a decadent hot chocolate, imagine a glob of chocolate in a mug served with a pot of hot milky goodness to pour over! Breakfast consisted of baked chorizo eggs and Spanish peppers. It was so delicious! I can't wait to come back!"
116,Andrew P.,6/22/2015,"Surry Hills, Sydney, Australia",5 star rating,"The Atmosphere was very warm and definitely lively, not what i expected when i walked by for a quick lunch. It definitely was a gastronomic approach to lunch.I came in an ordered what was on special It was a grilled Tuna Steak with a deconstructed Nicoise Salad. The Fish was cooked perfectly, firm and the acidity of capers helped cut through the richness of the fish. The variety of textures, from the fish to the roasted potatoes and zucchini, the crunch of the microherbs and the creaminess of an amazing puree made every mouthful delicious. A definite must try, apparently breakfast here is the place to go i just missed it. It seems a local staple here for people in Melbourne."
